iter	Passed	Remaining
0	18	4623
1	32	4082
2	47	3933
3	59	3673
4	69	3394
5	82	3371
6	92	3207
7	100	3053
8	114	3072
9	123	2973
10	131	2863
11	142	2817
12	154	2808
13	171	2887
14	196	3072
15	207	3035
16	223	3062
17	234	3019
18	246	3001
19	259	2981
20	271	2960
21	281	2918
22	292	2886
23	302	2846
24	323	2913
25	356	3070
26	390	3222
27	408	3236
28	429	3271
29	458	3359
30	474	3354
31	496	3385
32	517	3404
33	532	3381
34	553	3398
35	578	3436
36	597	3438
37	613	3423
38	625	3382
39	636	3340
40	650	3318
41	659	3267
42	673	3241
43	686	3211
44	694	3163
45	706	3131
46	722	3120
47	743	3130
48	758	3109
49	772	3090
50	783	3058
51	797	3035
52	809	3008
53	818	2972
54	826	2931
55	836	2899
56	845	2862
57	852	2823
58	863	2795
59	874	2770
60	892	2764
61	908	2756
62	931	2764
63	951	2765
64	973	2770
65	1003	2798
66	1019	2784
67	1034	2770
68	1050	2754
69	1061	2728
70	1079	2720
71	1094	2706
72	1117	2710
73	1137	2705
74	1152	2689
75	1170	2679
76	1182	2657
77	1198	2642
78	1212	2624
79	1224	2601
80	1239	2586
81	1249	2560
82	1263	2542
83	1277	2525
84	1290	2505
85	1305	2489
86	1319	2471
87	1335	2457
88	1350	2443
89	1378	2449
90	1394	2436
91	1407	2417
92	1420	2397
93	1433	2379
94	1448	2363
95	1465	2350
96	1477	2329
97	1490	2312
98	1501	2290
99	1510	2265
100	1524	2249
101	1539	2233
102	1549	2211
103	1562	2194
104	1572	2171
105	1582	2149
106	1595	2132
107	1607	2113
108	1619	2095
109	1630	2075
110	1644	2058
111	1660	2045
112	1672	2027
113	1687	2013
114	1708	2005
115	1752	2023
116	1795	2040
117	1818	2034
118	1838	2023
119	1855	2010
120	1869	1992
121	1886	1978
122	1899	1960
123	1906	1937
124	1921	1921
125	1936	1905
126	1955	1894
127	1969	1876
128	1983	1860
129	2020	1865
130	2035	1849
131	2048	1830
132	2060	1812
133	2068	1790
134	2083	1775
135	2095	1756
136	2103	1734
137	2119	1720
138	2131	1702
139	2149	1689
140	2163	1672
141	2176	1655
142	2195	1643
143	2222	1635
144	2243	1624
145	2259	1609
146	2279	1597
147	2291	1579
148	2304	1562
149	2328	1552
150	2349	1540
151	2364	1524
152	2381	1510
153	2398	1494
154	2427	1488
155	2445	1473
156	2463	1459
157	2485	1447
158	2504	1433
159	2523	1419
160	2540	1404
161	2556	1388
162	2572	1373
163	2588	1357
164	2605	1342
165	2619	1325
166	2636	1310
167	2656	1296
168	2687	1288
169	2703	1272
170	2719	1256
171	2733	1239
172	2755	1226
173	2777	1213
174	2791	1196
175	2809	1181
176	2822	1163
177	2833	1146
178	2851	1131
179	2867	1115
180	2881	1098
181	2892	1080
182	2906	1064
183	2917	1046
184	2929	1029
185	2943	1012
186	2961	997
187	2972	980
188	2984	963
189	2998	946
190	3012	930
191	3025	913
192	3040	897
193	3053	881
194	3073	866
195	3091	851
196	3104	835
197	3117	818
198	3131	802
199	3146	786
200	3167	772
201	3184	756
202	3199	740
203	3214	724
204	3227	708
205	3242	692
206	3256	676
207	3271	660
208	3284	644
209	3298	628
210	3309	611
211	3322	595
212	3340	580
213	3351	563
214	3361	547
215	3372	530
216	3383	514
217	3395	498
218	3406	482
219	3417	466
220	3430	450
221	3446	434
222	3458	418
223	3470	402
224	3482	386
225	3497	371
226	3510	355
227	3522	339
228	3540	324
229	3557	309
230	3570	293
231	3584	278
232	3596	262
233	3614	247
234	3627	231
235	3639	215
236	3650	200
237	3661	184
238	3672	169
239	3685	153
240	3697	138
241	3707	122
242	3720	107
243	3736	91
244	3760	76
245	3774	61
246	3790	46
247	3805	30
248	3822	15
249	3836	0
